pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,id,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1644,21,equity,Kaynes Technology India,nse,Horizontal Trendline,On the verge of breakout,2 hours,KTI05,Closed,Y,0,2026-07-22,2026-07-22 17:23:56,2026-07-09 15:14:11,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Kaynes Technology India"",""sc_symbol"":""KAYNES"",""sc_scripcode"":""543664"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""3424.40"",""pattern_type"":""buy"",""cmp"":""3252.40"",""price_key"":""stk_KTI05_N"",""target_price"":""4235"",""target_return_prcnt"":""23.67"",""stoploss_price"":""3195"",""stoploss_prcnt"":""6.70"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178359025058.png""},""rationale"":""A horizontal trendline marks a key resistance level where selling has repeatedly emerged. Price is now testing this zone, with a breakout likely to confirm renewed buying strength."",""action_type"":""add"",""created_at"":""2026-07-09 15:14:11"",""updated_at"":""2026-07-09 15:14:11""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178359025058.png""},""rationale"":""Pattern Expired"",""action_type"":""close"",""created_at"":""2026-07-22 17:23:56"",""updated_at"":""2026-07-22 17:23:56""}],""auto_closed"":true,""exit_price"":""3252.40"",""exit_price_condition"":""equals"",""closed_on"":""2026-07-22 17:23:56""}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1644.0,1784721236,1783590251,mc_pro_plus,N,3
1651,21,equity,GMR Airports,nse,Horizontal Trendline,Breakout Retest,1 day,GI27,Closed,Y,0,2026-07-22,2026-07-22 17:23:56,2026-07-13 09:58:09,"{""chart_type"":""mc_pro_plus"",""sc_name"":""GMR Airports"",""sc_symbol"":""GMRAIRPORT"",""sc_scripcode"":""532754"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""113.27"",""pattern_type"":""buy"",""cmp"":""109.83"",""price_key"":""stk_GI27_N"",""target_price"":""123"",""target_return_prcnt"":""8.59"",""stoploss_price"":""110"",""stoploss_prcnt"":""2.89"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178391688837.png""},""rationale"":""A horizontal trendline marks a key resistance level. After breaking above it, price retested the breakout zone and held, confirming former resistance has turned into reliable support."",""action_type"":""add"",""created_at"":""2026-07-13 09:58:09"",""updated_at"":""2026-07-13 09:58:09""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178391688837.png""},""rationale"":""Pattern Expired"",""action_type"":""close"",""created_at"":""2026-07-22 17:23:56"",""updated_at"":""2026-07-22 17:23:56""}],""auto_closed"":true,""exit_price"":""109.83"",""exit_price_condition"":""equals"",""closed_on"":""2026-07-22 17:23:56""}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1651.0,1784721236,1783916889,mc_pro_plus,N,3
1657,21,equity,Container Corporation of India,nse,Symmetrical Triangle,Bullish Reversal,4 hours,CCI,Closed,Y,0,2026-07-22,2026-07-22 17:23:56,2026-07-14 09:26:23,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Container Corporation of India"",""sc_symbol"":""CONCOR"",""sc_scripcode"":""531344"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""488.20"",""pattern_type"":""buy"",""cmp"":""481.40"",""price_key"":""stk_CCI_N"",""target_price"":""533"",""target_return_prcnt"":""9.18"",""stoploss_price"":""457"",""stoploss_prcnt"":""6.39"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178400138182.png""},""rationale"":""A symmetrical triangle reflects price consolidation. The breakout above resistance signals a bullish reversal."",""action_type"":""add"",""created_at"":""2026-07-14 09:26:23"",""updated_at"":""2026-07-14 09:26:23""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178400138182.png""},""rationale"":""Pattern Expired"",""action_type"":""close"",""created_at"":""2026-07-22 17:23:56"",""updated_at"":""2026-07-22 17:23:56""}],""auto_closed"":true,""exit_price"":""481.40"",""exit_price_condition"":""equals"",""closed_on"":""2026-07-22 17:23:56""}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1657.0,1784721236,1784001383,mc_pro_plus,N,3
1658,21,equity,Cipla,nse,Rectangle Pattern,Breakout Retest,2 hours,C,Closed,Y,0,2026-07-22,2026-07-22 17:23:56,2026-07-14 09:53:37,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Cipla"",""sc_symbol"":""CIPLA"",""sc_scripcode"":""500087"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1448.00"",""pattern_type"":""buy"",""cmp"":""1415.10"",""price_key"":""stk_C_N"",""target_price"":""1526"",""target_return_prcnt"":""5.39"",""stoploss_price"":""1418"",""stoploss_prcnt"":""2.07"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178400301649.png""},""rationale"":""A rectangle pattern reflects a period of consolidation. After breaking above resistance, price retested the breakout zone and held, confirming renewed buying strength."",""action_type"":""add"",""created_at"":""2026-07-14 09:53:37"",""updated_at"":""2026-07-14 09:53:37""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178400301649.png""},""rationale"":""Pattern Expired"",""action_type"":""close"",""created_at"":""2026-07-22 17:23:56"",""updated_at"":""2026-07-22 17:23:56""}],""auto_closed"":true,""exit_price"":""1415.10"",""exit_price_condition"":""equals"",""closed_on"":""2026-07-22 17:23:56""}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1658.0,1784721236,1784003017,mc_pro_plus,N,3
1683,21,equity,Info Edge India,nse,Symmetrical Triangle,Bullish Breakout,30 mins,IEI01,Closed,Y,0,1970-01-01,2026-07-22 13:33:42,2026-07-21 10:16:14,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Info Edge India"",""sc_symbol"":""NAUKRI"",""sc_scripcode"":""532777"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1221.60"",""pattern_type"":""buy"",""cmp"":""1187.25"",""price_key"":""stk_IEI01_N"",""target_price"":null,""target_return_prcnt"":""3.47"",""stoploss_price"":null,""stoploss_prcnt"":""2.26"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178460917313.png""},""rationale"":""A symmetrical triangle reflects a period of consolidation. The breakout above resistance confirms bullish momentum."",""action_type"":""add"",""created_at"":""2026-07-21 10:16:14"",""updated_at"":""2026-07-21 10:16:14""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178460917313.png""},""rationale"":""Pattern Failed"",""action_type"":""close"",""created_at"":""2026-07-22 13:33:42"",""updated_at"":""2026-07-22 13:33:42""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784707422,1784609174,mc_pro_plus,N,3
1634,21,equity,Hindustan Unilever,nse,Horizontal Trendline Breakout,On Verge of Bullish Breakout,1 hour,HL,Closed,Y,0,1970-01-01,2026-07-22 13:33:26,2026-07-02 12:26:40,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Hindustan Unilever"",""sc_symbol"":""HINDUNILVR"",""sc_scripcode"":""500696"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""2198.00"",""pattern_type"":""buy"",""cmp"":""2156.00"",""price_key"":""stk_HL_N"",""target_price"":null,""target_return_prcnt"":""4.64"",""stoploss_price"":null,""stoploss_prcnt"":""1.73"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178297539936.png""},""rationale"":""The multiple resistance at the key psychological level with horizontal trendline indicates bullish trend resumption."",""action_type"":""add"",""created_at"":""2026-07-02 12:26:40"",""updated_at"":""2026-07-02 12:26:40""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178297539936.png""},""rationale"":""Pattern Failed."",""action_type"":""close"",""created_at"":""2026-07-22 13:33:26"",""updated_at"":""2026-07-22 13:33:26""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784707406,1782975400,mc_pro_plus,N,3
1687,21,equity,Data Patterns (India),nse,Falling Channel,Bullish Reversal,2 hours,DPI01,Closed,Y,0,1970-01-01,2026-07-22 13:21:25,2026-07-22 10:05:24,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Data Patterns (India)"",""sc_symbol"":""DATAPATTNS"",""sc_scripcode"":""543428"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""4397.00"",""pattern_type"":""buy"",""cmp"":""4700.00"",""price_key"":""stk_DPI01_N"",""target_price"":null,""target_return_prcnt"":""10.67"",""stoploss_price"":null,""stoploss_prcnt"":""4.14"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178469492276.png""},""rationale"":""A falling channel breakout shows that buyers have gained the control, and we may see an upward move."",""action_type"":""add"",""created_at"":""2026-07-22 10:05:24"",""updated_at"":""2026-07-22 10:05:24""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178470668356.png""},""rationale"":""7% up"",""action_type"":""close"",""created_at"":""2026-07-22 13:21:25"",""updated_at"":""2026-07-22 13:21:25""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784706685,1784694924,mc_pro_plus,N,3
1666,21,equity,PI Industries,nse,Falling Trendline,Bullish Reversal,1 hour,PII,Closed,Y,0,1970-01-01,2026-07-22 11:15:04,2026-07-15 14:41:43,"{""chart_type"":""mc_pro_plus"",""sc_name"":""PI Industries"",""sc_symbol"":""PIIND"",""sc_scripcode"":""523642"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""2626.50"",""pattern_type"":""buy"",""cmp"":""2731.80"",""price_key"":""stk_PII_N"",""target_price"":null,""target_return_prcnt"":""5.65"",""stoploss_price"":null,""stoploss_prcnt"":""3.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178410670264.png""},""rationale"":""The breakout above the falling trendline is supported by a MACD bullish crossover, suggesting a fresh bullish phase may be developing."",""action_type"":""add"",""created_at"":""2026-07-15 14:41:43"",""updated_at"":""2026-07-15 14:41:43""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178469910241.png""},""rationale"":""5% up"",""action_type"":""close"",""created_at"":""2026-07-22 11:15:04"",""updated_at"":""2026-07-22 11:15:04""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784699104,1784106703,mc_pro_plus,N,3
1649,21,equity,Bajaj Finance,nse,Horizontal Trendline,Breakout Retest,2 hours,BAF,Closed,Y,0,1970-01-01,2026-07-21 12:17:36,2026-07-10 12:28:45,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bajaj Finance"",""sc_symbol"":""BAJFINANCE"",""sc_scripcode"":""500034"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1014.50"",""pattern_type"":""buy"",""cmp"":""1067.90"",""price_key"":""stk_BAF_N"",""target_price"":null,""target_return_prcnt"":""6.55"",""stoploss_price"":null,""stoploss_prcnt"":""2.32"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178366672324.png""},""rationale"":""A horizontal resistance level was broken and successfully retested, while the 50 EMA continues to act as dynamic support. This reinforces buyer strength and supports the ongoing uptrend."",""action_type"":""add"",""created_at"":""2026-07-10 12:28:45"",""updated_at"":""2026-07-10 12:28:45""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178408832662.png""},""rationale"":""Fresh Breakout."",""action_type"":""update"",""created_at"":""2026-07-15 09:35:27"",""updated_at"":""2026-07-15 09:35:27""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178461645580.png""},""rationale"":""3.53% up."",""action_type"":""close"",""created_at"":""2026-07-21 12:17:36"",""updated_at"":""2026-07-21 12:17:36""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784616456,1783666725,mc_pro_plus,N,3
1637,21,equity,Ambuja Cements,nse,Horizontal Channel,Resistance Breakout,1 hour,GAC,Closed,Y,0,1970-01-01,2026-07-21 11:09:44,2026-07-03 10:34:48,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Ambuja Cements"",""sc_symbol"":""AMBUJACEM"",""sc_scripcode"":""500425"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""440.75"",""pattern_type"":""buy"",""cmp"":""443.25"",""price_key"":""stk_GAC_N"",""target_price"":null,""target_return_prcnt"":""4.14"",""stoploss_price"":null,""stoploss_prcnt"":""3.80"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178305508728.png""},""rationale"":""The breakout above resistance confirms buyers have regained control, signalling the start of a fresh upward move."",""action_type"":""add"",""created_at"":""2026-07-03 10:34:48"",""updated_at"":""2026-07-03 10:34:48""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178305508728.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-07-21 11:09:44"",""updated_at"":""2026-07-21 11:09:44""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,,1784612384,1783055088,mc_pro_plus,N,3
